id	source	translation
496	既而果遣兩人，以他事使虜，過延，問：“朝廷議罷兵云何？”皆曰“不知”。	不 久 果 然 派 遣 兩 人 ， 以 其 他 事 出 使 虜 人 ， 經 過 延 州 ， 問 ： 朝 廷 商 議 罷 兵 怎 麽? 都 説 ： 不 知 道 。
497	及還，與虜使王延壽來，公召會兩人，問延壽來意，又曰：“不知。”	回 來 後 ， 與 虜 使 王 延 壽 來 ， 公 召 見 兩 人 ， 詢 問 延 壽 前 來 的 意 思 ， 又 説 ： 不 知 道 。
498	公曰：“延壽黠虜，與君來而君且不知耶？”召裨將曰：“問延壽何來，吾為將而不與知邪？亟書所奏事來，不然且遣還！”兩人大懼，乃以情告，願還使者。	公 説 ： 延 壽 狡 猾 狡 猾 ， 與 君 主 來 了 而 君 主 還 不 知 道 嗎? 召 集 裨 將 説 : 問 延 壽 怎 麽 來 ， 我 是 將 領 而 不 參 與 知 道 呢? 立 即 寫 信 奏 報 ， 不 然 就 派 遣 將 領 前 來 ， 如 果 不 會 派 遣 回 去 吧! 兩 人 大 驚 ， 就 把 情 况 告 訴 了 他 ， 願 意 回 去 ， 希 望 回 使 者 。
499	公曰：“軍令不可反，君自止之，而書其事來！”兩人具以事聞。	公 説 ： 軍 令 不 可 反 ， 君 自 己 禁 止 ， 而 把 他 的 事 上 報 告 ！ 兩 人 都 把 事 情 上 報 朝 廷 。
500	公自是異李焉。	公 從 此 不 同 於 李 氏 。
501	元昊既效順而不肯臣，請稱東朝皇帝為父，國號“吾祖”，年用私號，求割三州十六縣地，朝議彌年不決。	元 元 昊 歸 順 而 不 肯 歸 順 ， 請 求 稱 東 朝 皇 帝 爲 父 ， 國 號 爲 吾 祖 ， 每 年 使 用 私 人 的 稱 號 ， 請 割 三 州 十 六 縣 的 土 地 ， 朝 廷 議 論 長 久 不 决 。
502	既而報書，年用甲子，國號易其一字。	不 久 回 信 ， 年 號 是 甲 子 ， 國 號 改 爲 一 字 。
503	虜使過延，公坐堂上，召虜使立前而謂曰：“爾主欲戰則戰，今不戰而降，則朝廷所賜藩臣詔與頒朔封國，皆有常制，不必論。	虜 使 者 經 過 延 州 ， 公 坐 在 堂 上 ， 召 見 虜 使 站 在 前 面 説 ： 你 主 上 想 作 戰 就 對 他 們 説 ： 如 果 不 戰 而 戰 ， 如 今 不 交 戰 而 投 降 ， 那 麽 朝 廷 所 賜 的 藩 臣 詔 書 詔 書 和 頒 發 的 封 國 ， 都 有 固 定 的 制 度 ， 不 必 議 論 。
504	自古夷狄盜中國之地則聞之，未聞割地與夷狄也。	自 古 以 來 夷 狄 侵 犯 中 原 的 地 方 就 聽 説 了 ， 不 聽 説 割 地 給 夷 狄 。
505	三州十六縣，豈可得邪！”使曰：“清遠故屬虜，且墳墓所在，故欲得爾。”	三 三 州 十 六 縣 ， 怎 麽 能 够 得 到 呢! 使 者 説 ： 清 遠 原 來 屬 於 虜 人 ， 而 且 墳 墓 所 在 ， 所 以 想 要 得 到 。
506	公曰：“中國所失州縣，今未十年，若論墳墓所在，則中國多矣。”使語塞。	公 説 ： 中 原 所 失 的 州 縣 ， 如 今 還 没 有 十 年 ， 如 果 議 論 墳 墓 的 地 方 ， 那 麽 中 原 就 會 多 了 。 使 者 説 話 阻 塞 了 。
507	公曰：“爾主既受封。	公 説 ： 你 的 主 人 已 經 受 封 。
508	歲祿多少，此則可議，餘不足論。”虜使畏服。	每 年 的 俸 禄 多 少 ， 這 樣 就 可 以 議 論 ， 其 餘 的 不 足 論 。 虜 人 畏 懼 。
509	英宗即位，韓忠獻公使諭宗室諸王曰：“皇帝已即位，大王宜思保富貴，毋行所悔。”	英 宗 即 位 ， 韓 忠 獻 公 派 人 告 訴 宗 室 諸 王 説 ： 皇 帝 已 經 登 位 ， 大 王 應 該 思 考 保 持 富 貴 ， 不 要 行 所 悔 。
510	諸王皇恐，詣次求見，公謝卻之。	諸 王 惶 恐 恐 懼 ， 到 次 城 請 見 ， 公 主 謝 絶 了 。
511	某王還次及階，足廢不舉，扶而後升。	某 王 回 到 次 位 及 階 ， 足 廢 不 舉 ， 扶 着 然 後 上 。
512	王荊公為相，喜說字始，遂以成俗。	王 荆 公 做 宰 相 時 ， 喜 歡 談 論 字 開 始 ， 於 是 成 爲 習 俗 。
513	劉貢父戲之曰：“三鹿為麤，粗不及牛；三牛為犇，犇不及鹿。謂宜三牛為粗，三鹿為犇，苟難於遽改，令各權發遣。”	劉 劉 貢 父 子 嘲 笑 他 説 ： 三 鹿 爲 粗 ， 粗 不 如 牛 ； 三 牛 爲 ， 奔 跑 不 及 鹿 。 認 爲 應 該 用 三 牛 作 粗 ， 三 鹿 作 爲 奔 跑 ， 如 果 難 以 立 即 改 變 ， 命 令 各 自 暫 時 調 遣 。
514	於時解縱繩墨，不次用人，往往自小官暴據要地，以資淺，皆號“權發遣”云，故並譏之。	當 時 解 除 法 令 ， 不 按 次 序 任 用 人 才 ， 往 往 從 小 官 員 突 然 占 據 要 職 ， 因 爲 小 官 資 歷 淺 薄 ， 都 號 稱 權 發 遣 ， 所 以 都 譏 諷 他 們 。
515	張忠定守蜀，聞萊公大拜，曰：“寇準真宰相也。”	張 張 定 守 蜀 ， 聽 説 萊 公 大 拜 ， 説 ： 寇 準 真 是 宰 相 。
516	又曰：“蒼生無福。”	又 説 ： 百 姓 無 福 。
517	幕下怪問之，曰：“人千言而盡，準一言而盡，然仕太早，用太速，未及學爾。”	幕 下 怪 問 他 ， 説 ： 人 千 言 而 盡 ， 準 備 一 句 ， 然 而 官 職 太 早 ， 使 用 太 快 ， 没 有 學 習 罷 了 。
518	張、寇布衣交也，萊公兄事之，忠定常面折不少恕，雖貴不改也。	張 、 寇 是 平 民 之 交 ， 萊 公 兄 長 事 奉 他 ， 忠 定 常 常 面 對 他 不 稍 稍 寬 恕 ， 即 使 是 顯 貴 也 不 改 變 。
519	萊公在岐，忠定任蜀還，不留，既別，顧萊公曰：“曾讀《霍光傳》否？”曰：“未也。”更無他語。蓋以不學為戒也。	萊 公 在 岐 州 ， 魏 忠 定 任 蜀 還 朝 ， 不 留 下 ， 回 去 後 ， 回 來 後 ， 對 萊 公 説 ： 曾 經 讀 《 霍 光 傳 》 嗎? 他 回 答 説 : 没 有 什 麽 。 另 外 没 有 别 的 話 。 這 是 因 爲 不 説 不 起 來 的 。
520	萊公性資豪侈，自布衣夜常設燭，廁間燭淚成堆，及貴而後房無嬖幸也。	萊 公 性 情 豪 華 奢 侈 ， 自 從 布 衣 夜 間 常 常 設 置 燈 燭 ， 廁 中 的 燭 淚 堆 積 成 堆 堆 ， 等 到 成 爲 貴 人 後 房 没 有 寵 幸 。
521	王某公薨，祕書晁少監端彥，以外姻為懺罪，而戒僧“和我”，乃大唱曰：“妒賢嫉能罪消滅。”聞者莫不笑也。	王 某 公 去 世 ， 秘 書 晁 少 彥 ， 因 外 戚 爲 他 懺 罪 ， 而 戒 戒 僧 和 我 ， 於 是 大 唱 道 ： 妒 賢 嫉 能 的 罪 過 消 滅 。 聽 到 的 人 没 有 不 笑 他 。
522	潘美為并帥，代之北鄙，山有天池焉，歲遣通判祭之，其後憚遠而罷。	潘 潘 美 任 并 州 帥 ， 代 理 北 部 邊 境 ， 山 中 有 天 池 ， 每 年 派 遣 通 判 祭 祀 ， 後 來 因 爲 怕 遠 而 停 止 。
523	久之，契丹遣祭焉，又易其屋記。	過 了 很 久 ， 契 丹 派 人 祭 祀 他 ， 又 改 换 他 的 屋 記 載 。
524	至熙寧中，始有其地，凡數歲，兩使往來，卒不能辨而與之。	到 到 熙 寧 年 間 ， 纔 占 領 了 這 一 地 方 ， 共 幾 年 ， 兩 使 者 往 來 ， 最 終 不 能 辨 别 而 把 他 們 分 給 他 們 。
525	故事：歲賜契丹金繒服器，召二府觀焉。	按 舊 例 ： 每 年 賞 賜 契 丹 金 綫 服 飾 器 具 ， 召 二 府 觀 看 。
526	熙寧中，張文定公以宣徽使與召，眾謂：“天子修貢為辱，而陛下神武，可一戰勝也。”	熙 熙 年 間 ， 張 文 定 以 宣 徽 使 的 身 份 參 加 召 見 ， 衆 人 對 他 説 ： 天 子 修 貢 爲 耻 ， 而 陛 下 神 武 ， 可 以 一 戰 取 勝 。
527	公獨曰：“陛下謂宋與契丹凡幾戰？勝負幾何？”兩府八公皆莫知也。神宗以問公。	公 獨 自 説 ： 陛 下 認 爲 宋 與 契 丹 共 有 幾 次 戰 鬥 ？ 勝 負 有 多 少? 兩 府 八 公 都 没 有 知 道 。 神 宗 把 這 件 事 詢 問 了 公 。
528	公曰：“宋與契丹大小八十一戰，惟張齊賢太原之戰才一勝爾，陛下視和與戰孰便？”上善之。	公 説 ： 宋 與 契 丹 大 小 八 十 一 戰 ， 祇 有 張 齊 賢 太 原 之 戰 纔 能 取 勝 ， 陛 下 看 和 與 戰 孰 利? 皇 上 認 爲 很 對 。
529	元祐初，司馬溫公輔政，是歲天下斷死罪凡十人。其後二呂繼之，歲常數倍。此豈人力所能勝邪？	元 祐 初 年 ， 司 馬 温 公 輔 佐 朝 政 ， 這 年 天 下 判 决 死 罪 共 有 十 人 。 其 後 二 吕 繼 承 了 死 罪 ， 每 年 常 常 數 倍 。 這 難 道 是 人 力 所 能 勝 過 嗎 ？
530	錢塘邊江土惡，不能堤，錢氏以薪為之，水至輒潰，隨補其處，日取於民，家出束薪，民以為苦。	錢 塘 邊 邊 江 水 地 勢 惡 劣 ， 不 能 修 築 堤 岸 ， 錢 氏 用 柴 薪 製 成 ， 水 到 了 就 潰 决 ， 隨 即 補 充 其 地 ， 每 天 取 來 ， 每 日 用 一 束 柴 薪 ， 家 裏 拿 出 束 薪 ， 百 姓 因 此 受 到 苦 苦 。
531	張夏為轉運使，取石西山以為岸，募捍江軍以供其役，於是州無水患，而民無橫賦。	張 張 任 轉 運 使 ， 在 西 山 取 石 ， 招 募 捍 江 軍 來 供 役 ， 於 是 州 没 有 水 患 ， 而 百 姓 没 有 横 徵 賦 税 。
532	范文正公帥鄜、延，答元昊書不請。	范 范 文 正 統 帥 、 延 ， 回 答 元 昊 的 書 信 不 請 求 。
533	宋元憲請斬，云：“度必擅以土地金帛許之。”晏元獻、鄭文肅請驗其書，仲淹素直，必不隱。書既上，乃免。	宋 元 憲 請 求 處 死 ， 説 ： 度 量 一 定 擅 自 用 土 地 金 帛 答 應 了 。 晏 元 獻 、 鄭 文 肅 請 求 查 驗 他 的 書 ， 仲 淹 一 定 不 隱 瞞 。 書 寫 完 後 ， 纔 免 去 官 職 。
534	太祖既受位，使告諸道，東諸侯坐使者而問：“故宰相其誰乎？樞密使副其誰乎？軍職其誰乎？從官其誰乎？”皆不改舊，乃下拜。	太 祖 接 受 皇 位 後 ， 派 使 者 告 知 各 道 ， 東 諸 侯 坐 在 使 者 面 前 問 ： 原 宰 相 是 誰 呢? 樞 密 副 使 是 誰? 軍 官 的 職 責 是 誰 ？ 都 不 改 變 舊 制 ， 於 是 下 拜 。
535	真宗至陳橋，駐蹕不前行，遣知院陳堯叟先至澶，問知州何承矩：“當駐江陵，當駐澶淵耶？”堯叟夜至城下，不得入。	真 宗 到 達 陳 橋 ， 停 駐 不 前 行 ， 派 知 院 陳 堯 叟 先 到 ， 詢 問 知 州 何 承 矩 ： 應 當 駐 扎 江 陵 ， 應 該 駐 扎 淵 嗎? 堯 叟 夜 裏 到 達 城 下 ， 不 能 入 城 。
536	既明，承矩遣通判率郡官迎駕。	明 亮 天 亮 後 ， 承 矩 派 遣 通 判 率 領 郡 官 迎 接 皇 帝 。
537	久之，承矩亦出見堯叟。	過 了 很 久 ， 承 矩 也 出 來 拜 見 堯 叟 。
538	堯叟傳宣，承矩曰：“某守藩將爾，安知可否，此宗工大儒素所留心者。”	堯 叟 傳 宣 ， 承 矩 説 ： 某 守 藩 將 ， 怎 麽 知 道 可 否 ， 這 是 宗 工 大 儒 平 素 留 心 的 。
539	顧吏取自書札子，曰：“臣帶郡符，率屬吏，躬詣界首，奉迎聖駕，將面天顏，臣不任踴躍歡呼之至。”實封以付堯叟。	看 到 官 吏 取 下 自 己 的 書 信 ， 説 ： 臣 帶 着 郡 符 ， 率 領 屬 吏 ， 親 自 到 界 首 ， 奉 迎 聖 駕 ， 將 要 面 見 皇 帝 ， 臣 不 勝 歡 喜 ， 我 不 能 不 踴 躍 歡 呼 而 來 。 將 實 封 交 給 堯 叟 。
540	堯叟復問，對如前。	堯 叟 又 問 ， 他 回 答 如 前 。
541	堯叟既去，真宗遣中使問堯叟“承矩云何”，道路相踵，既至發封，乃知當去。	堯 叟 離 去 後 ， 真 宗 派 宦 官 問 堯 叟 ， 道 路 相 連 ， 車 輛 相 繼 而 來 ， 到 了 開 封 時 ， 纔 知 道 應 當 離 去 。
542	而堯叟兄弟皆大怒。	而 堯 叟 兄 弟 都 大 怒 。
543	承矩卒，諸子不敢仕。	承 矩 去 世 ， 諸 子 不 敢 做 官 。
544	承矩子雄州北築愛景臺，植蓼花，日至其處，吟詩數十首刻石，人以謂“何六宅愛蓼花”，不知經始塘泊也。	承 矩 的 兒 子 在 雄 州 北 面 修 築 愛 景 臺 ， 種 植 蓼 花 ， 每 天 到 其 地 ， 吟 詩 幾 十 首 刻 在 石 上 ， 人 們 認 爲 何 六 宅 愛 蓼 花 ， 不 知 是 經 過 塘 泊 。
545	自五代來，契丹歲壓境，及中國徵發即引去，遣問之，曰：“自挍獵爾。”以是困中國。	自 自 五 代 以 來 ， 契 丹 每 年 侵 犯 邊 境 ， 等 到 中 原 徵 發 徵 發 ， 派 人 詢 問 ， 説 ： 我 自 己 打 獵 罷 了 。 因 此 困 苦 於 中 原 。
546	予為汝陰學官，學者多言萬壽之西、穎水之上有林號“稅子步”，步之西有異木，人莫能名，相傳數百歲，榮落不時，舊有碑云：“粉黛塗容，金碧之樹。”	我 爲 汝 陰 學 官 ， 學 者 大 多 説 萬 壽 縣 西 、 穎 水 之 上 有 林 號 叫 税 子 步 ， 步 之 西 有 異 木 ， 人 們 没 有 人 能 知 道 ， 相 傳 數 百 年 ， 花 落 落 不 時 ， 過 去 有 碑 説 ： 粉 黛 塗 飾 容 貌 ， 金 碧 樹 樹 。
547	余過之，往觀焉，木身纔十數年爾。	我 經 過 他 ， 前 去 觀 看 ， 木 材 僅 有 十 幾 年 了 。
548	是時歲暮，群木皆落，從者以謂枯也。	這 時 候 歲 暮 ， 樹 木 都 落 下 來 ， 隨 從 的 人 認 爲 枯 了 。
549	木下有剎石，石有像文，有銘云：“曹公有悟，怖心未已。敬造浮圖，式崇妙理。文詞闡相，粉黛塗容。金剎一樹，永出煩籠。開元十六年，歲在執徐首旬五日建。”	木 下 有 刹 石 ， 石 像 有 文 字 ， 有 銘 文 説 ： 曹 公 有 悟 悟 ， 恐 怕 心 中 不 安 。 恭 敬 建 造 浮 圖 ， 用 來 崇 尚 道 理 。 文 辭 闡 明 ， 粉 黛 塗 飾 。 開 元 十 六 年 ， 歲 星 在 執 徐 首 十 五 日 建 成 。
550	地故佛氏道場，石頭乃是寺廟的奠基銘文石。	地 方 原 是 佛 氏 道 場 ， 石 頭 乃 是 寺 廟 的 奠 基 銘 文 。
551	“粉黛塗容”，謂建像也，“金剎一樹”，謂建剎也。	粉 黛 塗 容 ， 指 建 像 ， 金 剎 一 樹 ， 就 是 建 刹 。
552	讀者寡陋，傳者喜為緣飾，苟無此石，亦足惑世也。	讀 書 的 人 寡 陋 ， 傳 授 的 人 喜 歡 作 爲 緣 故 ， 如 果 没 有 這 種 石 頭 ， 也 足 以 迷 惑 世 俗 。
553	蔡州壺公觀有大木，世亦莫能名也，高數十尺，其枝垂入地，有枝復出為木，枝復下垂，如是三四，重圍環列，如子孫然。	蔡 州 壺 公 觀 有 大 木 ， 世 人 也 不 能 知 道 ， 高 數 十 尺 ， 樹 枝 垂 入 地 ， 有 枝 又 出 來 成 爲 木 ， 枝 枝 又 下 垂 ， 如 此 三 四 ， 重 叠 環 繞 ， 像 子 孫 一 樣 。
554	世傳漢費長房遇仙者處，木即縣壺者。	世 間 傳 説 漢 代 費 長 房 遇 到 仙 人 的 地 方 ， 木 就 是 懸 壺 的 人 。
555	沈丘令張戣，閩人，嘗至蔡，為余言：“乃榕木也，嶺外多有之，其四垂旁出，無足怪者。	沈 丘 令 張 ， 閩 人 ， 曾 到 蔡 州 ， 爲 余 説 ： 這 是 榕 木 ， 嶺 外 多 出 ， 没 有 什 麽 可 怪 的 。
556	柳子厚《柳州》詩云‘榕葉滿庭鶯亂飛’者是也。”	柳 子 厚 《 柳 州 》 詩 説 榕 樹 滿 庭 鶯 亂 飛 。
557	余讀《魏氏雜編》，見真宗時公卿大夫慰國哀登極往還書，蓋大臣同憂戚，宜有慶弔。	我 讀 《 魏 氏 雜 編 》 ， 見 真 宗 時 公 卿 大 夫 慰 問 國 哀 登 上 皇 帝 登 位 的 情 况 ， 大 概 大 概 是 大 臣 同 憂 戚 ， 應 有 慶 賀 。
558	往在南都，奉神宗諱，見蘇尚書作路發運帖，莫知當慰與否也，相與商論，竟復中輟。	以 前 在 南 都 ， 奉 迎 神 宗 名 諱 ， 看 到 蘇 尚 書 作 路 發 運 帖 子 ， 没 有 人 知 道 應 當 慰 問 ， 相 互 商 議 ， 相 繼 中 止 。
559	乃知前輩禮法猶在，而近世士大夫之寡聞也，因錄之。	於 是 知 道 前 輩 禮 法 還 存 在 ， 而 近 世 士 大 夫 很 少 聽 到 ， 於 是 記 録 下 來 。
560	寇侍郎《慰書》曰：“伏以大行皇帝，奄棄萬邦，天下臣子，畢同號慕。昔同華綴，俱受異恩。攀靈馭以無由，望天顏而永訣。方纏悲緒，遽捧台函。摧咽之誠，倍萬常品。”	寇 寇 侍 郎 《 慰 書 》 説 ： 我 認 爲 大 行 皇 帝 ， 忽 然 抛 棄 萬 邦 ， 天 下 臣 子 ， 全 都 同 聲 仰 慕 。 昔 日 同 華 之 列 ， 都 受 到 特 殊 的 恩 寵 。 攀 攀 靈 車 而 無 路 ， 望 天 顔 而 永 訣 。 正 當 悲 痛 之 情 ， 迅 速 捧 上 天 書 。 摧 傷 之 心 ， 倍 倍 萬 常 。
561	《賀書》曰：“伏以聖人出震，大明初耀於四方；王澤如春，普慶載頒於九有。凡在照臨之下，畢同歡忭之心。侍郎久滯外藩，已成美政。廊廟佇徵於舊德，雲雷始洽於新恩。未果馳誠，先蒙飛翰。感銘欣慰，無以喻名。”	《 《 賀 書 》 説 ： 我 認 爲 聖 人 出 震 ， 大 明 初 出 於 四 方 ； 王 恩 如 春 ， 普 遍 普 遍 頒 布 於 九 有 。 凡 是 在 照 臨 的 地 方 ， 全 都 歡 欣 歡 喜 。 侍 郎 久 留 在 外 藩 ， 已 經 成 爲 美 政 。 廊 廟 長 期 徵 召 舊 德 ， 雲 雷 開 始 洽 於 新 恩 。 没 有 成 功 ， 先 蒙 飛 翰 ， 先 受 飛 翰 。 感 激 欣 賞 ， 無 法 稱 名 。
562	夏英公家中風方，父子屢中輒愈。	夏 英 公 家 中 有 風 生 方 法 ， 父 子 多 次 中 了 病 就 痊 愈 。
563	鱁魚，大魚白也，今謂之魶子。	魚 ， 大 魚 ， 今 稱 子 。
564	王學士逵妻某氏，妾常辱之，訴于逵，不受，亦不校也。	王 學 士 賈 逵 的 妻 子 某 氏 ， 妾 常 常 受 辱 ， 向 賈 逵 申 訴 ， 不 接 受 ， 也 不 追 究 。
565	或問之，曰：“彼將去矣，不必校也。”	有 人 問 他 ， 他 説 ： 他 將 離 去 了 ， 不 必 追 究 。
566	已而逵怒，逐之，某盡歸其裝，一家皆諫止之，曰：“此自彼有，吾何與焉？然亦非彼所有也。”	不 久 賈 逵 發 怒 ， 驅 逐 了 他 ， 賈 逵 全 部 歸 還 他 的 裝 備 ， 一 家 都 勸 阻 阻 止 ， 説 ： 這 是 從 那 裏 有 的 ， 我 有 什 麽? 然 而 也 不 是 他 所 有 的 。
567	妾遇盜，盡亡其資。	妾 妾 遇 到 盗 賊 ， 全 部 丢 失 了 他 們 的 資 産 。
568	嘗語家人：“今夕甘露下，使以器取之。”	曾 對 家 人 説 ： 今 晚 晚 上 甘 露 降 下 ， 讓 他 用 器 物 取 來 。
569	又謂逵曰：“新婦妾某日當死，以後事屬公。”皆然。	又 對 賈 逵 説 ： 新 婦 妾 某 日 應 當 死 ， 把 後 事 交 給 你 。 都 如 此 。
570	仁宗四時衣夾，冬不御爐，夏不御扇。	仁 宗 四 季 穿 着 衣 服 ， 冬 天 不 御 爐 ， 夏 天 不 穿 扇 。
571	太祖為太原鎮將，舍縣人李媼家，媼事之謹。	太 祖 任 太 原 鎮 將 時 ， 住 在 縣 裏 的 人 家 ， 李 侍 奉 他 很 恭 敬 。
572	他日訪其家，媼則死矣，得其子，以為御廚使，久之不遷，求去。	其 他 人 訪 問 他 的 家 人 ， 她 的 女 兒 就 死 了 ， 得 到 他 的 兒 子 ， 任 命 他 爲 御 厨 使 ， 很 久 没 有 遷 徙 ， 請 求 離 去 。
573	太祖曰：“以爾才地，御廚使其可得邪？爵祿以待賢能，而私故人，使我愧見士大夫，而爾意猶不滿邪？”	太 祖 説 ： 因 爲 你 的 才 能 ， 御 厨 可 以 得 到 嗎 ？ 爵 禄 以 待 賢 能 ， 却 私 通 故 人 ， 使 我 愧 於 士 大 夫 ， 而 你 的 意 思 還 不 滿 意 嗎?
574	太祖閱蜀宮畫圖，問其所用，曰：“以奉人主爾。”	太 祖 檢 閲 蜀 宫 畫 圖 ， 問 他 所 用 ， 他 説 ： 用 來 供 奉 君 主 。
575	太祖曰：“獨覽孰若使眾觀邪！”於是以賜東華門外茶肆。	太 祖 説 ： 獨 自 閲 覽 不 如 讓 衆 人 觀 看 嗎! 於 是 賜 給 東 華 門 外 茶 肆 。
576	太祖不以法吏為獄官，畏其遷情而就法也。	太 祖 不 以 法 吏 爲 獄 官 ， 害 怕 他 們 遷 移 情 况 而 去 就 法 令 。
577	王荊公嫁女蔡氏，慈壽宮賜珠褥，直數十萬。	王 荆 公 嫁 女 蔡 氏 ， 慈 壽 宫 賜 給 珠 褥 ， 價 值 數 十 萬 。
578	前世陋儒，謂秦璽所在為正統，故契丹自謂得傳國璽，欲以歸太祖，太祖不受，曰：“吾無秦璽，不害為國。	前 代 的 淺 陋 的 儒 生 ， 認 爲 秦 璽 所 在 的 地 方 就 是 正 統 ， 所 以 契 丹 自 稱 得 到 傳 國 璽 ， 想 把 它 送 給 太 祖 ， 太 祖 不 接 受 ， 説 ： 我 没 有 秦 璽 ， 不 害 成 爲 國 家 。
579	且亡國之餘又何足貴乎！”契丹畏服。	况 且 亡 國 之 餘 又 有 什 麽 可 貴 的 呢! 契 丹 畏 服 。
580	嘉祐之末，宴二府、兩制、三館於群玉殿，御書飛白以遍賜之。	嘉 嘉 祐 末 年 ， 在 群 玉 殿 宴 請 二 府 、 兩 制 、 三 館 ， 皇 帝 親 自 書 寫 飛 白 書 寫 全 部 賜 給 他 們 。
581	蔡襄、王珪同為學士，襄有書名，而仁宗使珪題所賜，兩人各自得也。	蔡 襄 、 王 珪 同 任 學 士 ， 蔡 襄 有 書 名 ， 而 仁 宗 派 王 珪 題 寫 所 賜 的 ， 兩 人 各 自 有 所 得 。
582	太宗不豫，呂正惠公宿西省，內侍都知王某夜叩省門，以喪訃告，且問所立。	太 宗 病 重 ， 吕 正 惠 在 西 省 住 宿 ， 内 侍 都 知 王 某 夜 晚 到 省 門 ， 把 喪 事 告 訴 ， 并 問 所 立 。
583	於時長子楚王以疾廢，真宗次為太子，諸子王者五人。	當 時 長 子 楚 王 因 病 被 廢 ， 真 宗 次 子 爲 太 子 ， 諸 子 有 五 人 。
584	公曰：“此何語？內侍欲斬邪？預立太子，正為此爾，且吾奉手詔，可取視也。”	公 説 ： 這 是 什 麽 話? 内 侍 想 斬 殺 嗎? 預 先 立 太 子 ， 正 是 因 爲 這 是 這 樣 的 ， 而 且 我 奉 皇 帝 的 詔 書 ， 可 以 取 來 觀 看 。
585	王既入，公遽闔戶鏁之而去。	王 入 宫 後 ， 公 主 立 即 闔 門 鎖 住 他 而 離 去 。
586	真宗既立，還而出之。	真 真 宗 即 位 後 ， 回 來 後 把 他 們 放 出 來 。
587	太宗數私謂正惠公日與太子問起居，既崩，奉太子至福寧庭中，而先登御榻，解衣視之而降，揖太子以登，遂即位。	太 宗 多 次 私 下 説 正 惠 公 每 天 和 太 子 問 安 ， 去 世 後 ， 奉 太 子 到 福 寧 庭 中 ， 而 先 登 上 御 榻 ， 解 下 衣 服 而 下 ， 揖 讓 太 子 登 上 皇 位 ， 於 是 即 位 。
588	張忠定公令崇陽，民以茶為業，公曰：“茶利厚，官將取之，不若早自異也。”	張 忠 定 公 正 任 崇 陽 知 縣 ， 百 姓 以 茶 爲 業 ， 張 公 説 ： 茶 的 利 潤 很 大 ， 官 府 將 要 收 取 它 ， 不 如 早 自 行 改 變 。
589	命拔茶而植桑，民以為苦。	命 命 令 拔 茶 而 種 桑 ， 百 姓 因 此 受 苦 。
590	其後榷茶，他縣皆失業，而祟陽之桑皆已成，其為絹而北者歲百萬匹，其富至今。	後 來 專 賣 茶 ， 其 他 縣 都 失 去 了 農 業 ， 而 祟 陽 的 桑 樹 都 已 種 成 了 ， 其 中 織 絹 而 北 方 的 每 年 一 百 萬 匹 ， 其 富 有 到 今 天 。
591	始，令下，惟通樂一鄉不變，其後別自為縣，民亦貧至今一也。	起 初 ， 縣 令 下 達 ， 祇 有 通 樂 一 鄉 不 變 ， 後 來 另 外 另 外 設 縣 ， 百 姓 也 貧 困 到 了 今 天 。
592	韓魏公屢薦歐陽公，而仁宗不用。	韓 魏 公 多 次 推 薦 歐 陽 公 ， 而 仁 宗 不 采 用 。
593	他日復薦之曰：“韓愈，唐之名士，天下望以為相，而竟不用。	其 他 人 又 推 薦 他 説 ： 韓 愈 ， 是 唐 朝 的 名 士 ， 天 下 人 都 仰 望 他 做 宰 相 ， 而 韓 愈 最 終 没 有 被 任 用 。
594	使愈為之，未必有補於唐，而談者至今以為謗。	假 如 韓 愈 做 了 這 件 事 ， 不 一 定 會 有 補 益 於 唐 朝 ， 而 談 論 的 人 至 今 以 爲 誹 謗 。
595	歐陽修，今之韓愈也，而陛下不用，臣恐後人如唐，謗必及國，不特臣輩而已，陛下何惜不一試之以曉天下後世也？”上從之。	歐 陽 修 ， 是 今 天 的 韓 愈 ， 而 陛 下 不 任 用 ， 臣 恐 怕 後 人 如 唐 ， 誹 謗 一 定 會 侵 及 國 家 ， 不 祇 是 臣 輩 而 已 ， 陛 下 爲 什 麽 吝 惜 一 次 試 用 他 來 曉 諭 天 下 後 世 呢? 皇 上 聽 從 了 他 的 建 議 。
596	葉表為句容令，縣有盜，改置社稷而盜止。	葉 表 任 句 容 令 ， 縣 裏 有 盗 賊 ， 改 設 社 稷 而 盗 賊 止 息 。
597	下邳故多盜，近歲遷社稷於南山之上，盜亦衰息。	下 下 邳 原 來 多 盗 賊 ， 近 年 遷 移 到 南 山 之 上 ， 盗 賊 也 漸 漸 衰 退 。
598	司馬溫公云：仁宗崩，有司用乾興故事，群臣布四腳加冠，於是時莫識其制，以幅巾幕首，破其後為四腳。	司 司 馬 温 公 説 ： 仁 宗 去 世 ， 有 關 官 員 按 乾 興 年 間 的 舊 例 ， 群 臣 布 列 四 脚 加 冠 ， 於 是 没 有 認 識 這 個 制 度 ， 用 幅 巾 幕 首 ， 破 其 後 爲 四 脚 。
599	其後鄭毅夫讀《續事始》云：“三代黔首，以皂絹裹髮，周武帝裁為四腳，名以襆頭，馬周請重繫前腳。	後 來 鄭 毅 夫 讀 《 續 事 始 》 説 ： 三 代 百 姓 ， 用 皂 絹 包 裹 頭 髮 ， 周 武 帝 裁 成 四 脚 ， 名 爲 頭 頭 ， 馬 周 請 求 重 用 前 脚 。
