id	source	translation
212	蘇長公謂：“彩色不是吳道子所為，二子規模吳生，故長於設色爾。	The Duke of Changsha had three sons, Gongsun Zan and Zuo Gong, who had not yet been able to establish a name for themselves. He had two sons, Ziyu and Ziyi, who were both scholars of the Wuhuan, and they could not follow the teachings of Taishi Ci.
213	孫位方不用矩，圓不用規，乃吳生之流也。”	As Sun Ce was leaving, he did not use his insignia as a means to excuse himself, and when he did decide to leave, he used the excuse that he was in difficulty and had not time to arrange a carriage.
214	餘謂二子學吳生，而能設色，不得其本，故用意於末，其巧者乎？	The two men love love and do not understand, but they do not appreciate the difference between the two. So they have joined forces, and they are combining their forces. Why should they be satisfied if they can get results?
215	諺曰：“甘草先生則麥熟，苦草先生則人疫。”	All his attendants said, 'I want the first to lead the people away from the oppression of the Yuan, for the first choice of the firstborn is the man to lead his family away. When the first man of the empire is dead, everyone else will follow his example.
216	甘草，薺；苦草，黃蒿也。	After a few months there were riots, and the Yellow Turbans were a source of trouble.
217	又曰：“杏熟當年麥，棗熟當年禾。”	"Cao Cao said, ""In former times, Emperor Huan was Colonel of Jing province, and he ended his reign as Excellency of Works."
218	又曰：“棗不濟儉。”	"He also said, ""Cao Cao was disloyal to the throne, and that was why he suffered such misfortune."
219	謂棗熟則歲豐也。	Guan Yu was afraid that the power of the emperor would fall to Shu or Shu.
220	諺曰：“行得春風有夏雨。”	"Cao Cao said, ""There is a phrase which says, 'Mountainountain is the only place that the true spirit of the past has been maintained."
221	蓋春之風數為夏之雨數，小大急緩亦如之。	In former times, when Gaozu was a young scholar, there were many good scholars who would join him in debate, and even when he was young he was treated with great respect.
222	祕書丞張鍔，嗜酒得奇疾。	"The Imperial Clerk Zhang Wen sent a letter to Dong Zhuo, saying, ""I have heard that Shangzhong was wicked and deceitful."
223	中身而分，左常苦寒，雖暑月，巾襪袍袴，紗綿相半。	In the second month, on the day guiwei [miswritten for 20 Jul] there was a fire in the offices of the offices [of the emperor] at the north of the square. The plot was discovered, and he died in prison.
224	世傳王祥臥冰求魚以養母，至今沂水歲寒冰厚，獨祥臥處闕而不合。	About this time the Great Tutor of Qinghe died, and his mother the mother of the Xiongnu [of the Shang clan] bore a great number of eggs and leaves from the ferns and brambles. The dowager was now aged over a hundred years old, and her body was neglected and neglected since the time of the Xiaoping period.
225	章學士珉為布衣，以宰相自許，高蓋大馬，盛服群從而後出，潤人謂之“三品秀才”。	Cai Yong of Buocheng, a man from a wealthy family who had come from a middle family, felt ashamed to be a follower of such a group. He felt ashamed for himself, and he arranged for a marriage ceremony with a woman from the middle class. He arranged for the marriage of these two men to marry the same family, and they followed the pattern of established men. They followed the established rules, and in the end they became quite successful.
226	驗鏡視其鼻，鼻滑淨如削者古，今人為之，必有高下。	When a man does something wrong, he is sure to be punished for it, and when good men are treated like this, they are sure to become obedient. No-one can tolerate this.
227	今人鑄鐵鏡，陷銅為面，故明。	"""Now I have been involved in a great affair, and have been heavily involved in the conduct of a man who is pure and pure. I am deeply concerned about this situation."
228	光祿李卿先築宅于盧，甃皆用磚，歲夏大雨，閘門及竇積水數尺，內外一洗而發去之。	The former Minister of the Household for All Purposes, Li Ying of Yingchuan, who had long been a close friend of Li Ying, was known for his good work in the war at the Gate of the Vermilion Moon, and he was known throughout the empire as a man of considerable achievement and ability. Then he died of old age, and the tomb of his tomb was empty, with only the ashes of his bones scattered around the ground.
229	唐人謂逸少天姿不及工用，故初不勝郗、庾，而暮年方妙。	"""A few few years ago, when the emperor was young and a few years old, he was unsuccessful in his campaigns, and he was not successful in his attempts to conquer the empire. He failed to gain a single pound of food, and so he died of old age. He was not awarded any remission of taxes or remission from taxes."
230	餘謂不然。	Some more than a hundred hundred men did not agree, and he was forced to abandon his position.
231	衛夫人見逸少學書，拊膺而嘆曰：“後當勝己。”	"On another occasion, when the men of the harem came to pay their respects to the emperor, they read a book of admonitions: ""When a man is young, he cannot make up his mind whether to accept the dowager."
232	此豈無天姿者耶！而暮年方妙者，乃大器晚成爾。	"""How can I be able to make decisions in the end? Can I be sure that all the empire will remain intact? And how can I face the responsibilities of a chief minister?"
233	獐無膽，兔無脾，豚膂無筋。	By this means no-one could gain entry to the palace, and the baggage was in the stables. No-one dared pay any attention to their expenses.
234	東都相國寺樓門，唐人所造，國初木工喻浩曰：“他皆可能，惟不解卷簷爾。”	"At this time the Eastern Capital was at peace, and the people of the commandery had not heard of any fighting men. Cao Cao said to him, ""It is only possible that a man like me can be successful in affairs of state, and that he can manage to command ten thousand men without being asked about it."
235	每至其下，仰而觀焉，立極則坐，坐極則臥，求其理而不得。	When he arrived, however, he had no weapons and no weapons. Because he was hungry and thirsty, he waited for the opportunity to get some food, then asked to go to the camp.
236	門內兩井亭，近代木工亦不解也。	The gates of the city were closed and the gates were closed, and there was no-one in the city.
237	寺有十絕，此為二耳。	I am forty-two old, and I am still young.
238	陝之寺居多古屋，下柱不過九尺，唐制不為高大，務經久爾。	The barbarians of the commanderies and counties resentful, and they claim that their granaries and goods are not sufficient to supply the imperial household.
239	行露亭用斗百餘，數倍常數，而朱實亭不用一斗，亦一奇也。	He had several times been under the orders of several times, but he had always been able to keep hiscontrol under control, and so he was able to maintain several years of successful service.
240	魚行隨陽，春夏浮而逆流，秋冬沒而順流，漁者隨其出沒上下而取之。	When the Wuhuan came to attack Liu Bao, it was because of his erratic behaviour that the barbarians came to surrender. The emperor's carriages and horses were poisoned, and the roads were blocked from outside. As a result, many people died of starvation.
241	唐末，岐、梁爭長，東院主者知其將亂，日以菽粟與泥為土墼，附牆而墁之，增其屋木，一院笑以為狂。	On the day gengshen [2 Feb] the emperor was planning to leave east of the Yangzi, and he was going to go east into Jing province, where he would travel by land and water. Since he was still young he could not travel far into the east, so he stayed behind. He planned to shift his headquarters to the north of the mountains, and that way he would be able to keep contact with the people of Liang and Liang.
242	亂既作，食盡樵絕，民所窖藏為李氏所奪，皆餓死。	The disorder was broken up, and people were able to live in comfort and comfort. They sold goods and bought goods from the market-place, and they sold and sold goods from their mouths and mouths. Then Li Jue died of old age. So he died too.
243	主沃墼為糜，毀木為薪以免。	He became Minister of the Guards, but he was very poor.He was appointed as Abundant Talent.
244	隴右有富人，預為夾壁，視食之餘可藏者乾之貯壁間，亦免。	The men of Faction who had been dismissed before were given appointment as gentlemen of the Right, while those of mean origin were given posthumous appointment.More than a dozen were executed, and the rest of them were pardoned.
245	虞部閻見賢，老為容守，歸而自如，曰：“惟節食爾。”	Liu Yu always observed that when Guo Tai was young, he would go to the lodgings of his officers, but he would always return to the house [of his elder brother] and would make apologies for his failure. Then he returned to his own home, and he treated Cao Cao with respect and respect, while he allowed Cao Cao to keep his seal and ribbon of office.
246	每食常欠三四分。	The Three Excellencies of the Three Adjuncts were all of poverty and poverty.
247	初見部中老者，問而得之。	He saw a man who was old and died, and he asked him about the way that had gone.
248	韓幹畫走馬，絹壞，損其足，李公麟謂：“雖失其足，走自若也。”	"Han Sui fled to the north of the Yangzi and hid in the bushes. When he came to light, he said to Cao Cao, ""It is only a short time since your army has been besieging You province, and it is only because you have run away."
249	六一為布衣，客相之曰：“耳白於面，名則遠聞；唇不貼齒一生惹言語。”	"Chen Deng was a man of fine repute, but Lü Bu always said that he was proud of his own achievements, and he would say that when he heard of someone's failure, he would laugh and say, ""I have heard that when a man does well, his reputation is always greater than that of his colleagues.'"
250	毀譽豈亦有命耶？	The evidence of the rebellion of Jian Jian: who is the ruler of Jianling?
251	齊之龍山鎮，有平陸故城，高五丈四，方五里，附城有走馬臺，其高半之，闊五之三，上下如一，其西與南則在內，東北則在外也，莫曉其理。	"""In former times, when Duke Qi of Qi was at the east of the Yangzi, there was a great tax in the east. He planned to shift the capital south to the south, and in the west there would be five cities south of the Yellow River. Halfway through the plan was the Zhongmiao Crossing, and it was in that direction that the rebels saw the south."
252	寇萊公準，少嘗為淮漕，有方士為治丹砂，用竹百二十尺而通其節，以器盛丹置其上而立之，半埋地中。	When the regiments of the Xianlian Qiang were young and weak, Sima Hui was a young man. He was poor and had no experience of government, and when he reached the rank of a halberd he had only a few feet of feet of height, with a waist of two hundred feet.He was despised by the people and hated him for it, but he was able to keep his composure together and maintain his position. He maintained his composure and maintained his standards of moral conduct, and he managed to maintain his standard of conduct. His standards and conduct were respected throughout the empire, and even when he was a few years old he was respected by the officials and people.
253	於時才得六十尺竹，接而用之。	At this time, in the age of the eight earthen eunuchs, there were still more than ten thousand of them, and so they were able to obtain the advantage. He was able to get the advantage from them, but he was not able to gain it. So he was disappointed.
254	始於歲之朔旦，盡歲而止，丹已融而墮器矣。	"""When I first came to this position, I was young and weak and had no prior experience of government, and when I came to the throne [of Danyang], I had no idea what to do about either of them. Duan Jiong kept him at a distance, but he kept him in communication with Liu Yao, and even when this was about to end, he continued to drink wine and drink wine."
255	澄心堂，南唐烈祖節度金陵之宴居也，世以為元宗書殿，誤矣。	"Liu Qiong was a descendant of the Southern Palace [of Emperor Huan]. He sent in a letter, saying, ""I have heard that the Shanyu of the West and the Qiang were descendants of the Emperor [of Zhou]. It is only natural that they should be regarded as something special."
256	趙內翰彥若家有《澄心堂書目》，才二千餘卷，有“建業文房之印”，後有主者，皆牙校也。	Zhao Zhao was a man who cared for his people, and cared for them by caring for them, not only to correct the wrongs of other scholars, but also to correct those who had made false accusations.
257	餘於丹徒高氏見楊行密節度淮南補將校牒紙，光潔如玉、膚如卵膜，今士大夫所有澄心堂紙不迨也。	"The Attendant Official Yang Fu of Danyang said to Yang Fu, ""Duan Fu is a man from the south of the Yangzi, and he has shown affection for people who are neither wise nor strong as he is. He loves to make plans, and so he has brought harm upon his fellow-towns. If you compare him to the men of ancient times, you will find that he is more dangerous than those of the past. It is only natural that he resembles you."
258	開封常得劇盜，言富家難近，貯以櫃篋，扃鐍嚴固，貴家喜陳衣而架，有帕便可包覆。	Cai Yong of Chenliu was a man from humble family who had been brought in from the harem. He loved to read and would go to the lavatory to make his excuses, but he never went far to pay his respects. Then he came to Zhang Miao's house, and he took his wife and children to his lodging.
259	夏英公伏日供帳溫室，戒客具夾衣，客皆笑之。	Zhang Xia, former Attendant Officer to the emperor, was still in his teens, and his father Wen Wen and his cousin Wen Wen had all passed through the same territory.They had been drinking and drinking for a long time, and even when they saw one another they would weep in shame and weep for their fathers and relatives.
260	既坐，體寒生栗。	When the emperor came to the capital he was honoured and presented with a number of prizes.
261	乃以漆斛漬龍皮也。	So he changed the situation to a situation that the Xiongnu had not been captured, and he shifted the capital to
262	酒半，取瓦礫蘸藥水為黃金以娛客。	Before this, when Dong Zhuo had been in the Yellow Turbans of the Yellow River, he had always been loyal and honest. He had been known to be very good at keeping order and order,
263	世傳《王氏元經薛氏傳》《關子明易傳》《李衛公對問》皆阮逸所著，逸以草示蘇明允，而子瞻言之。	"The Lady Wang of Chenliu, a former Lady of Emperor Guangwu, had a daughter who had died in the market-place at the Hall of Virtuous Virtue. She spoke as follows: ""Her majesty's father, Wang Xiang of Shanyang, was a scholar of the Way of Righteousness, and she had the ability to read books from the classics."
264	宣城包鼎，每畫虎，掃溉一室，屏人聲，塞門塗牖，穴屋取明。	"""In the winter, in the seventh month there was a fire at the Gate of Tranquillity. The people were frightened and confused, and they trampled one another and trampled over one another.Dismissing all the rules, he sent in a list of names."
265	一飲斗酒，脫衣據地，臥起行顧，自視真虎也，復飲斗酒，取筆一揮，意盡而去，不待成也。	As a result, the whole of the Western Garden was lit in red, and the emperor could see only through a broken window. The emperor could not see, and his umbrellas were torn off, the shoes and shoes were broken, and he could not feel anything.
266	閻立本觀張僧繇江陵畫壁，曰：“虛得名爾。”	Zhang Hao was at this time a follower of Zhang Miao. Zhang Song, however, argued that Liu Zhang's reputation was far better than that of Cao Cao. He claimed that Zhang Song had held the position of a marquis, and that this was because Cao Cao's reputation had been well-known.
267	再往，曰：“猶近代名手也。”	"Cao Cao came in person to see him, and he remarked to him, ""You have always admired the qualities of a true gentleman, and you have always respected and respected him."
268	三往，於是寢食其下，數日而後去。	Before this, the Three Excellencies had been reduced to just a third of his size, and his power increased day by day.
269	夫閻以畫名一代，其於張，高下立判，閻立本的不足可以知道了。	"""On the other hand, if one man finds himself in a bad position, he can use his experience to gain advantage in any case, and if he is lucky enough to gain some advantage, he will always have some chance of success. Then he can rely upon his experience and his sense of honour, and when he is defeated he will know that he was not guilty."
270	世之人強其不能而論能者之得失，不亦疏乎？	If a man is weak, how can he manage if he is weak?
271	李公麟云“吳畫學於張而過之”，蓋張守法度而吳有英氣也。	"""In former times, Duke Cao of WEI was Chancellor of Changshan, and Zhang Lu sent in a memorial to say that he was considering withdrawing to his home state, but that Zhang Lu would be pleased to hear of it."
272	眉山公謂：“孫知微之畫，工匠手爾。”	"""Lord Cao of WEI has taken command of the troops of the four hills, and the lands within the passes are rich and fine. It is quite appropriate that he should be given charge of the affairs of the state."
273	六一公論書喜李西臺，而《集古》不錄張從申也。	At one time in one case in one book Book of the Five Classics Zhu Guang wrote a harem song of praise for Zhang Jue, and Zhang Song of Chenliu was a closefriend of Zhang Wen. Zhang Song believed this was because he was a scholar of literary culture.
274	兵部秦玠、祠部李宗易，皆學於西台，名有師法。	Li Jue and Li Jue of Jianwei, officers of the imperial forces, were both trained in the arts of war, and had been active in both the provinces and commanderies. They had been known as well-known scholars of the west, and were well known throughout the empire.They had both been commissioned to serve in the east.
275	公為毫州，問秦西台何學，曰：“張從申也，見之否邪？”曰：“未也。”	"The Duke of Liang province was made Minister of Finance and was asked why, and he explained that it was because he had been ill and had not been able tocome to the court. He asked the emperor about it, and Cao Cao asked him, ""Cao Cao was the man to surpass him, and did not follow his example."
276	示之，曰：“西臺不及也。”	"Cao Cao was delighted, and he said to him, ""When I first came to the throne, it was because of my ability and ability that I did not receive the full rewards of the campaign."
277	蘇洵送石揚休北使引乃蘇軾少時書	The Northern General of the Xiongnu, Ju Shou of Shanggu, sent a messenger to take the head of the emperor out of the Northern Yewu to receive the emperor.
278	餘於石舍人揚休家得蘇明允送石北使引，石氏子謂明允書也。	The Minister of Ceremonies Su Xuan and the Deputy Director of Retainers Zhang Yun sent out a letter to Zhang Yun to say that Zhang Yun had sent him away to the north of the mountains.Zhong Yun was the intended person for Zhang Yun, and Zhang Yun's wife and children were sent to take the imperial seal and ribbon.
279	以示秦少游，少游好之，曰：“學不迨其子，而資過之。”	"""Zhang Miao was a young man, and when he was young he had no education, but he did not appreciate the finer points of education. When he was about to retire, however, he kept him in school and did not treat him as a child. So he was able to raise a fine scholar and maintain his fine education."
280	乃東坡少所書也。	So he went east to Dongguan, and he wrote a series of letters to the men of his service.
281	故嘗謂書為難，豈余不知書，遂以為難邪？	The former Master of Writing Zheng Tai was a man of great talent, but he was not as good at managing the manuscript. He was not prepared to give any reward to Yuan Tan; he was only too glad to accept a lesser post.
282	金陵人喜解字，習以為俗，曰“同田為富”、“分貝為貧”、“大坐為奎”。	In the autumn it was ordered that a few hundred men should be established in the territory of the Three Adjuncts, to be kept at a distance from the royal house. Cao Cao was pleased with this, and appointed Sima Hui as Senior Clerk in the office of theChancellor. He was very pleased with his achievement.
283	黃巢攻金陵，人說之曰：“王毋以攻也，王名巢，入金陵則鏁矣！”遂解去。	"The Yellow Turban attacked Chang'an, but Liu Biao said to him, ""Liu Biao is a man of great reputation, but he has no intention of going away. He has always been a follower of Cao Cao, and he has always respected the authority of the two men. He is a true follower of the imperial house. He will always be loyal to you."
284	壽之安豐塘，楚相孫叔敖之所築也，至今賴之。	"""In the Taoof the Left, the Yin and the Yellow Turbans are the two great attractions of the empire. Yuan Shao is the closest relative of the Yuan clan, and even when they are young they are no more than a nuisance."
285	塘西有廟焉，塘上之木，花皆西向，子皆東向。	Chen Kuang was a man from the west of the mountains, with a wide reputation as a fine scholar, and he had many friends in the west. When he came to the west he sent in a memorial asking to be allowed to go west, but the emperor would not approve.
286	懷禪師每住持，必舍講師說天台教，使其徒聽焉。	"At this time, in the capital capital an imperial edict summons an envoy to proclaim an amnesty, saying, ""The empire is in turmoil and Heaven has sent its Son of Heaven, and the world has turned to Heaven. It is the time of Heaven and Man, but it is the author of the authories of Heaven."
287	學其可廢乎！	How can he be able to collect all his resources?
288	唐人根利，一聞千悟，故大梅才得馬祖一言，入山坐庵諸老之門，既悟，亦曰：“得坐披衣，向後自看。”	"When Yang Qiu heard that Zhang Huan had been captured, he laughed and said, ""When I first arrived in this territory, I used to count the numbers of men in his tent, and when I heard that the rebels had been defeated, I went to the palace and looked for a man who had been hiding in the bushes. When I found him, however, I shot him at once, and the whole village was destroyed."
289	不復學也。	Again, though Guo Tai was not a close relative, he still debated and debated.
290	今人根鈍，聞一知一。	Now the men of SHU who have heard of this, and everyone in the world who hears of it, realise that it is a mistake.
291	故雪竇以古人初悟之語，為學者入道之門，謂之因緣，退而體究，謂之看話，更無言下悟理之質矣。	"""In former times, when the eunuchs of the Five Scepts [of the Five Adjuncts] held power in the inner apartments of the harem apartments, there was no-one who would speak against him. It was only at this time that the gates of the palace were closed and the gates were closed, and there were even cases where there were occasions when there was confusion and confusion in the ranks."
292	復取古法而次第之，以為悟後析理之門，謂之淘汰，天衣宗之。	"""Again, there was a man who was greedy as a jackal, and he drank the wine of the eunuchs and ate the flesh of the empress. He was greedy and corrupt, and even when he was at the Gate of Heaven he was still resentful of him. He took the place of the Three Excellencies, and so he became a marquis."
293	而圓通非之，改用臨濟教門，蓋用古責今也，而其徒多不見諦，後悔，亦復故云。	"""Now, however, when he is young, he does not appreciate the signs of the times. He does not understand the signs and signs, and so he gives no thought to the signs. He discourages good and bad men and discourages them, while he rewards them with fiefs and presents presents. This is called'successful''."
294	閩越黃撥沙善視墓，畫地為圖，即知休咎，故號“撥沙”。	Huang Ji was a faithful and upright man, who had always been a follower of the Xun Huang. He was now old and senile, and he said that when he saw Cao Cao he would say, 'When I see you in the market-place, I shall make you a marquis.
295	婺人有世患左目者，問之，日：“祖墳有木，久則木根傷害其目，必發墓以去之。”	"""Many men of the past had pity for Cao Cao, and as a result there was no-one to keep him under control, and the roads and roads were blocked. As a result, Cao Cao was able to escape harm, but he could not stay long. His men were exhausted and could not get forward."
296	既發，有根貫其左目。	When he was about to leave, he sent his attendants a letter with a clear message:
297	出之而愈。	and when he went out he was arrested and put in prison for ten years.
298	宿乳醫陳嫗，年八十餘，切脈知其生早晚，月則知日，日則知時。	In the winter, in the tenth month, when Chen Qiu was in the fourth month, there was no-one in the village. He was able to collect the grain from his neighbours, and when he returned, he knew that there would be no more days of harvest. He knew that when the harvest was finished, he would know that the days would be over.
299	宿有兩家就乳，切其左曰：“毋遽，是當夜生。”	A man who loved music and embroidery embroideries embroidered by women, and when he was old he would sing and talk in the dark. He was generous and easy to deal with, and everyone admired his honesty.
300	將就其右，左家疑之，不聽也。	His men were discouraged, and he gave up the idea.
301	曰：“是家當午而生，無妨也，過午則來日生矣。”	"Cao Cao's men were discouraged and discouraged, and they said to one another, ""There is no way to get here."
302	復切之，曰：“初更兩點，其時也，為母具食，聽自便。”	"Cao Jie was frightened, and he asked his counsellors why, explaining that they had been attacked by Yuan Shu. He sighed and said, ""When I first came to this territory, it was only because of my father's reputation, and I was allowed to stay in the territory for more years."
303	既多為備，使候時以報，扶母就蓐，即生。	When Liu Bei came to this territory, he sent his mother and children to welcome him, and he sent them out to visit the sick and sick. He sent them away to stay with the Xiongnu, and they stayed there with him for ten years.
304	文正李公既薨，夫人誕日，	"""In the time of Duke Cao of WEI, Duke Cao was ruler of the WEI dynasty, and in the sixth month there was an eclipse of the sun.In the month of the month [3 February 185], the Duke of Emperor Wen was dismissed, and the men of the palace worshipped him for a whole month."
305	宋宣獻公時為從官，與其僚二十餘人詣第上壽，拜于簾下，宜獻前曰：“太夫人不飲，以茶為壽。”	At this time the Minister Coachman Chen Gong of Chenliu was a student in the Imperial University. He was a scholar from the same commandery as the eunuchs, and he was extremely good at astrology. He could certainly recommend himself as a worthy man, and for this reason he was given posthumous appointment as a Senior Clerk in the Palace of the Left.
306	探懷出之，注湯以獻，復拜而去。	He went out to drink and drink, and it was quite clear that he would drink more than he wanted. So he went away.
307	襄陽承唐亂，地荒民散，林篁翳塞，常有四大龜負一小龜而行，或謂乘者為瑇瑁云。	Yang Feng of Nanyang, a man from the same commandery, was a man of poor family. He rode a carriage to the gate of the palace, and he paid no attention, but he paid little attention to the people.
308	代北界天池山，荒遠，巡候不至，潘美節度河東，新廟舍，作脊記，歲遣府倅祀之，率常憚行，後竟罷之。	At this time the Bearer of Heaven was at the Gate of Tranquil Joy. He rode in a carriage drawn by oxen, and he rode in an open carriage with a side-path. He travelled about the country for a whole day, then came back to the capital. He ate and drank and talked for more than ten days, and then he died in his bed.
309	契丹始治室易記，久之來議界，舉知其然，而莫能奪也。	Zhong Yao is a great-grandson of Duan Jiong. He is extremely good at strategy and he knows his way around the affairs of the state. He has taken advantage of his good reputation to gain entry to the government, and he now holds positions in every part of the empire. When he first came to the throne he was quite unsuitable.
310	生血皆赤，怒心之所出也。	All wept and wept, and our hearts were broken.
311	赤，火色，其性躁，故象之。	On the day jiuzhen [24 Feb] there was a fire in the pavilion.There was a great fire, and all the people were shamed and ashamed.
312	二乘四果，其白如乳，出于淨心。	The two men went back and spoke to the other, but they were not allowed to see them.
313	而鱟血碧，鰕蛤無血，其故何也？	By this time, however, Chen Gong had been reduced to poverty and poverty. He had been ill and had nothing to eat, and his son had no food. So he died.
314	御廚不登彘肉，太祖嘗畜兩彘，謂之神豬。	In the winter, in the tenth month on the day guiwu [27 Sep] the cortege of Huang Zu came to the palace. Huang Qiong was at the Gate of Perpetual Sun, and the people at the bottom of the road saw it.
315	熙寧初罷之。	Gongsun Ning was known for his ability and his ability, and only the people of Ningqiu thought of him.
316	後有妖人登大慶殿，據鴟尾，既獲，索彘血不得，始悟祖意，使複畜之。	Later, when the men of Faction were about to cross the Huai, they pretended to be pregnant, and they pretended that they were pregnant, but in fact they had borne a son.They pretended that he was the son of a great family, and pretended to have no children, so that Huang Zhi could not get at him.
317	蓋彘血解妖術云。	Liu Shu was made Minister of Finance for his own good work, and Yuan Shu became Excellency over the Masses.
318	茶，洪之雙井，越之日注，登、萊鰒魚，明、越江瑤柱，莫能相先後，而強為之第者，皆勝心耳。	"""In the winter, when the wind is blowing and the snow is cold, the first thing to be done is to make a fire and set fire to the outer walls and make fires.Truly this is the work of a master and a master of war, with strong walls and strong walls. They are the foundation of a great empire. They will be the basis of a strong government, and their strength will extend far beyond the borders of their borders. It will be easy to destroy them, but they will be more difficult to deal with."
319	石決明，登人謂之鰒魚，明人謂之九孔螺。	Truly, however, this is a man who has no understanding of the proper conduct of men. He does not understand the manners of men, he is not the sort of fellow to speak against others. He speaks against the proper principles of conduct and against the righteousness of a ruler. He follows the right Way of right conduct.
320	牡蠣固氣，蚶子益血，蓋蛤屬惟蚶有血。	He Jin of Chenliu had only recently arrived in the capital. He had only just arrived in his new home, and his feelings were pure and strong. He was generous and generous, generous, and he had many friends and friends.
321	熙寧中，作坊以門巷委狹，請直而寬廣之，神宗以太祖創始，當有遠慮，不許。	At this time there was a famine in the empire, and there was an imperial cortege which travelled through every part of the empire. It was difficult to keep up with the pace with the imperial house, and even at the end of it it was easy to make up the score.
322	既而眾工作苦，持兵奪門，欲出為亂，一老卒閉而拒之，遂不得出，捕之皆獲。	Zhang Hong gathered his troops and marched out to the entrance to the Palace of Tranquillity. They set out a line of flags and flags to show the intention of surrender, and the soldiers went out of the camp to shout at the enemy.
323	郯城民妻有二十一子，而雙生者七。	The wives and children of ten wives were numbered by the hundreds of thousands, and there was a plague of locusts.
324	壽之善鄉，市吏垂乳，流湩如乳婦。	When Yuan Shao arrived, he was prepared to hand over the goods he had brought to him to Cao Cao. He kept the seal and ribbon of official position as a means of communicating with the people, and he treated them as goods and goods.
325	神宗嘗夢入大府，有植碑，以金填字，曰“宰相項安節”。	At one time there were scholars of literary culture who had read literary texts, and the whole of the empire was impressed by their writings.Cao Zhi was a man from the same district as Du Shang, and his words were comparable to those of Confucian scholars.
326	寤而求之，乃太學生也。	On the other hand, there was a great amnesty and the Grand Commandant Chong Shao was able to settle the dispute.
327	慈聖解之曰：“項安節即吳充也。”	When Yang Ci heard of the illness of Cai Yong, he recom mended that Yang Fu be recalled to the capital. He was then sent to attend the ceremonies of Cao Cao, and Cao Cao was pleased to see him.
328	於是正憲公為相，頸有瘤焉，而項生布衣至今。	Besides this, the excellencies, ministers and other officials have been involved in the affair since the beginning of the reign of Emperor Gao. How can you now compare with Lü Bu and Dong Zhuo?
329	朝散郎方通罷官還鄉，夢至政事堂，尚書左丞黃履素知通，獨起迎語曰：“蕭灑，蕭灑。”遂去。	"At this time, the Consultant Zhu Jun of the Imperial Secretariat had just returned from his tour of study, and all the officials at the Gate of the Masters of Writing read the memorial which had been sent in to the offices of the Xiongnu, saying, ""I have heard that the Shanyu of the past were clever and ingenious, and that they were able to usurp the lands of the time."
330	通前，諸公語如黃。	On the day jiaxu [28 May] the excellencies and ministers came to the Yellow Gates to pay their respects to Huang Qiong.
331	既寤，莫測也。	When he was dead, none of the rich and influential turned to him.
332	既而得官校理，滿任得知睦州，是歲建中元年，黃以疾去久矣。	At this time there were still fewer people in the province, and so the authority of the Ministry of Finance was less than there had been before. So the price of grain was up to the highest price, and the province was forced into exile.
333	往謝執政，范右丞純札日：“先公嘗守睦，有《蕭灑桐廬郡》十詩，桐廬真蕭灑也。”	"In the time of the emperor's first reign, the Excellency over the Masses summoned the excellencies and high officials to answer for his faults. He sent in a memorandum which argued that the reasons for the failure of the campaign had been from the fact that Cao Cao had held office before, and that there was no cause for concern about the possibility that the rebels might return to the territory of the Xiongnu. The excellency was concerned that there might soon be repercussions for Cao Cao's decision, so he sent excellents of rank and clerical officials to explain the situation, and they explained the situation to Xun You, and the Xun Shu of Henei, who was then Administrator of Ji province, that, ""There was once some time that the disturbances in the past that there had been unrest in the commanderies and counties, and there were reason for concern that there would be future unrest."
334	周約夢到自己登科做了尉官，去了任所，在公堂窗戶見得到女子一隻鞋，在灶台間得到筆墨。	Zhao Zhong sent a messenger to call upon the emperor from the capital to say farewell to his wife and children, while he himself went to the palace to pay his respects to the marquisate [of Liang] and to pay respects to his son, the Duke of Shao, while all his family and dependents came to pay their respects to him. Each time he saw a marquis or a child in the market-place he would weep and beg for his son's son or another.
335	後數歲中第，為延州一尉，既入廨舍，皆夢所見，求二物，皆得之於其處。	Later, in the same year, when the Colonel Who Subdues the Western provinces were all in decline and there was famine, the provincial offices were all undersoldiers. They asked to go back to their home country, and when they heard that it was only a few weeks later, they all came to offer congratulations.They asked to see Liu Yan's younger brother, and they both accepted the post.
336	文元賈公居守北都，歐陽永叔使北還，公預戒官妓辦詞以勸酒，妓唯唯，復使都廳召而喻之，妓亦唯唯。	"""The Duke of WEI was Administrator of Beihai, and he sent in memorials to say to the emperor that, ""You should recall the former excellencies and ministers of the north, and send them back to the capital so that they may act as if they had been banished to the east. If you do that, it will be easy as setting up a marquisate in the middle of the empire, and you can set up a village in the north. Then you can return to the north and set up your own capital at Beidi, while you may return to Xinfeng and return to Xiaohu, while in return, you can give posthumous titles to those who came back as refugees as refugees.Return to the imperial fiefs and counties, and return them to your humble opinion, and postalalal memorials as a means to remind everyone of your loyalty, then you will be"
337	公怪嘆，以為山野。	"""Lord Cao was a man of fine reputation and a fine scholar, but he was despised by the people of the hills and hebecame a fugitive."
338	既燕，妓奉觴歌以為壽，永叔把盞側聽，每為引滿。	On the day gengshen [2 Nov] Yang Feng was camped at Yang Feng, and Yang Feng realised that Yang Feng would be resentful of this and would be reluctant to accept the appointment. Yuan Feng, however, was proud and resentful, and he made secret plans to rebel against Cao Cao. So he made a false claim that he was a descendant of the Xian clan.
339	公復怪之，召問，所歌皆其詞也。	Again, Duke Wu was recalled, and all his fellow-towns were glad to hear him.
